text_a	label
Grid positions	O O
The Finance Ministry raised the price for tap sales of the Dutch government 's new 5.75 percent bond due September 2002 to 99.95 from 99.90 .	O B-ORG I-ORG O O O O O O O O B-MISC O O O O O O O O O O O O O O
TVX Gold Inc was up C$ 0.30 to C$ 11.55 in trading of 780,000 shares , while Kinross Gold Corp gained C$ 0.25 to C$ 11 in volume of 720,000 shares .	B-ORG I-ORG I-ORG O O B-MISC O O B-MISC O O O O O O O O B-ORG I-ORG I-ORG O B-MISC O O B-MISC O O O O O O O
SINGAPORE 1996-08-26	B-LOC O
Latest Prior	O O
Inzamam-ul-Haq 3 5 0 320 148 64.00	B-PER O O O O O O
A British aid worker , held hostage in Chechnya for nearly four weeks , said on Saturday a cocked Kalashnikov had been thrust into his mouth at one point during his ordeal .	O B-MISC O O O O O O B-LOC O O O O O O O O O O B-MISC O O O O O O O O O O O O O
7. Vaclavas Kidikas ( Lithuania ) 60.92	O B-PER I-PER O B-LOC O O
4. Jon Drummond ( U.S. ) 20.42	O B-PER I-PER O B-LOC O O
-- Sydney Newsroom 61-2 373-1800	O B-ORG I-ORG O O
Tamil Tiger rebels overran an isolated police post in Sri Lanka 's northeast early on Thursday killing 24 policemen , defence officials said .	B-ORG I-ORG O O O O O O O B-LOC I-LOC O O O O O O O O O O O O O
7. Fita Bayesa ( Ethiopia ) 7:38.09	O B-PER I-PER O B-LOC O O
Wycombe 1 Gillingham 1	B-ORG O B-ORG O
The Taiwan dollar closed slightly firmer on Thursday amid tight Taiwan dollar liquidity in the banking system , and dealers said the rate was likely to move narrowly in the near term .	O B-LOC O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O
OFK Beograd 2 Mladost ( BJ ) 2	B-ORG I-ORG O B-ORG I-ORG I-ORG I-ORG O
Frankfurt DAX-3O index -- 2,583.49 ( Jul 5/96 )	B-LOC B-MISC O O O O O O O
------------------------	O
scores in the German Open golf championship on Thursday ( Britain	O O O B-MISC I-MISC O O O O O B-LOC
-DOCSTART-	O
No replacements had been named .	O O O O O O
Bamerindus declined to comment on negotiations being held with the Central Bank .	B-ORG O O O O O O O O O B-ORG I-ORG O
MGT / UND 0.275 SELL CONC 1.60 PRAECIP =	O O O O O O O O O
-DOCSTART-	O
NEC Nijmegen 1 ( Van Eykeren 15th ) PSV Eindhoven 4 ( Numan 11th ,	B-ORG I-ORG O O O O O O B-ORG I-ORG O O O O O
Huber , who reached the final a week ago at Manhattan Beach , could only mourn her luck of the draw .	B-PER O O O O O O O O O B-LOC I-LOC O O O O O O O O O O
'	O
To bat - Inzamam-ul-Haq , Salim Malik , Asif Mujtaba , Wasim Akram , Moin Khan , Mushtaq Ahmed , Waqar Younis , Mohammad Akam	O O O B-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER
Samsung 48 5 55 .468 14	B-ORG O O O O O
PARIS 1996-08-28	B-LOC O
Mid-tier golds up in heavy trading .	O O O O O O O
AMSTERDAM 1996-08-28	B-LOC O
The stock fell HK$ 0.23 , or 30.26 percent , to an all-time low of HK$ 0.53 .	O O O B-MISC O O O O O O O O O O O B-MISC O O
Lens 3 Montpellier 2	B-ORG O B-ORG O
--------------------------------	O
It 's a part of the penalty that I have to accept . "	O O O O O O O O O O O O O O
